file,pattern,pattern_length,reps,size,t_mean
FM_english1024MB,place,5,196176,1098763985,669.375
FM_english1024MB,These are ,10,3280,1098763985,1007.06
FM_english1024MB,those playing a,15,1,1098763985,1634.09
FM_english1024MB,where wraps were che,20,1,1098763985,1880.16
FM_english1024MB,alcoholically boastful of,25,1,1098763985,2528.28
FM_english1024MB, been swung from the ceilings.,30,1,1098763985,3036.31
